field0,field1
59,405000
1264,1179000
3057,2175000
4931,2001000
6898,2585000
8895,4185000
10892,5966000
12949,7538000
15075,10054000
17192,5898000
19313,5939000
21514,8837000
23721,15112000
25937,15131000
28273,10439000
30606,10423000
32939,19784000
35263,11295000
37590,17665000
39920,15841000
42259,17313000
44583,16272000
46910,18257000
49243,16772000
51567,17291000
53897,26534000
56257,20422000
58713,23040000
61163,24420000
63619,26485000
66066,25299000
68513,40986000
70969,30403000
73413,39809000
75863,35257000
78310,44398000
80760,39288000
83207,37434000
85660,42402000
88104,37064000
90569,38083000
93013,65357000
95463,41325000
97913,42648000
100360,46442000
102807,44594000
105263,47179000
107707,50951000
110157,55748000
112604,58985000
115057,55820000
117507,55580000
120035,61002000
122614,64210000
125181,67992000
127751,68488000
130321,64208000
132888,65590000
135467,70846000
138034,77810000
140604,72937000
143174,82365000
145741,91256000
148311,92852000
150887,82160000
153451,89788000
156021,98350000
158588,95207000
161161,95661000
163728,108632000
166298,79540000
168871,98090000
171438,95942000
174008,108705000
176575,113565000
179145,111016000
181718,116053000
184285,119461000
186852,127374000
189422,150229000
192007,154755000
194574,181614000
197141,147433000
199714,152768000
202281,130844000
204854,159901000
207421,167667000
209991,189361000
212558,163877000
215128,165129000
217695,204982000
220265,191688000
222841,168613000
225408,157624000
227975,199662000
230548,190821000
233115,157541000
235685,177030000
238252,172937000
240828,167487000
243396,181660000
246047,179849000
248710,191271000
251418,184992000
254198,188509000
256981,204542000
259767,181707000
262553,134995000
265324,216357000
268104,220015000
270884,221642000
273664,226484000
276441,232095000
279221,231479000
281995,234772000
284781,223253000
287573,280968000
290347,161174000
293124,248370000
295910,264153000
298687,251821000
301464,249415000
304247,273021000
307018,213963000
309804,277448000
312584,281043000
315364,294222000
318138,303224000
320933,192590000
323701,276323000
326481,316481000
329261,325313000
332041,379142000
334812,246621000
337604,379476000
340387,378419000
343164,262258000
345941,346892000
348721,354370000
351498,244980000
354284,382079000
357064,296559000
359841,338146000
362618,363693000
365398,406540000
368175,406898000
370964,405797000
373738,382996000
376515,381097000
379301,443145000
382075,432303000
384858,461563000
387635,450103000
390418,225383000
393192,242633000
395972,420985000
398746,459007000
401529,595447000
404306,428111000
407101,567558000
409896,506770000
412667,898962000
415444,580312000
418224,241756000
420998,538886000
423784,515762000
426561,546010000
429341,664549000
432118,364595000
434901,886262000
437684,688226000
440467,601254000
443241,609609000
446024,720310000
448798,820781000
451575,405855000
454352,331451000
457135,436434000
459921,330214000
462698,312481000
465472,617175000
468252,634503000
471032,659235000
473824,646710000
476598,392961000
479372,669317000
482155,396420000
484935,647001000
487706,311615000
490498,579971000
493275,718124000
496049,403982000
498829,766592000
501609,447761000
504395,759012000
507169,502926000
509946,799180000
512735,793506000
515509,409745000
518286,826009000
521087,755451000
