field0,field1
59,594000
1264,4735000
3057,6333000
4931,9363000
6898,12483000
8895,18844000
10892,22091000
12949,29051000
15075,31586000
17192,29496000
19313,33396000
21514,51793000
23721,42127000
25937,51655000
28273,51166000
30606,52659000
32939,75500000
35263,62003000
37590,77840000
39920,74248000
42259,70365000
44583,117595000
46910,86139000
49243,90336000
51567,96175000
53897,106644000
56257,99064000
58713,93420000
61163,104707000
63619,101736000
66066,116399000
68513,107305000
70969,119275000
73413,138680000
75863,130903000
78310,130831000
80760,172736000
83207,152627000
85660,153050000
88104,150575000
90569,151212000
93013,160065000
95463,147274000
97913,196377000
100360,162833000
102807,171256000
105263,176740000
107707,190522000
110157,177628000
112604,202493000
115057,203315000
117507,180910000
120035,203431000
122614,195962000
125181,199548000
127751,216411000
130321,238702000
132888,222629000
135467,239361000
138034,225818000
140604,235495000
143174,244360000
145741,237937000
148311,264338000
150887,263680000
153451,256308000
156021,269615000
158588,268109000
161161,269748000
163728,282818000
166298,291755000
168871,279743000
171438,290342000
174008,296590000
176575,287459000
179145,291665000
181718,324113000
184285,302988000
186852,311927000
189422,317681000
192007,323880000
194574,333427000
197141,335047000
199714,327476000
202281,331820000
204854,329102000
207421,501693000
209991,357914000
212558,346243000
215128,336868000
217695,337695000
220265,346894000
222841,366431000
225408,351124000
227975,371470000
230548,380476000
233115,373567000
235685,373308000
238252,423176000
240828,398450000
243396,398327000
246047,413279000
248710,423173000
251418,400850000
254198,447382000
256981,423556000
259767,609988000
262553,436057000
265324,526501000
268104,436093000
270884,454416000
273664,435064000
276441,469523000
279221,454431000
281995,524573000
284781,467001000
287573,476092000
290347,510219000
293124,489664000
295910,506675000
298687,517364000
301464,487075000
304247,662822000
307018,533770000
309804,552229000
312584,519577000
315364,525730000
318138,542351000
320933,547746000
323701,539061000
326481,554756000
329261,540583000
332041,541801000
334812,543100000
337604,546662000
340387,538429000
343164,560711000
345941,568521000
348721,567947000
351498,603485000
354284,553505000
357064,921876000
359841,579071000
362618,719058000
365398,719019000
368175,850267000
370964,826370000
373738,661328000
376515,747178000
379301,608369000
382075,637394000
384858,624457000
387635,619060000
390418,666318000
393192,681358000
395972,653341000
398746,681115000
401529,739261000
404306,667868000
407101,649023000
409896,665898000
412667,690532000
415444,661446000
418224,675792000
420998,690379000
423784,689639000
426561,676300000
429341,738686000
432118,702967000
434901,828397000
437684,717146000
440467,747410000
443241,703232000
446024,757534000
448798,795208000
451575,742994000
454352,712415000
457135,821342000
459921,771078000
462698,827101000
465472,731247000
468252,718129000
471032,774004000
473824,728141000
476598,788686000
479372,905025000
482155,832568000
484935,807852000
487706,787420000
490498,787536000
493275,1021920000
496049,1004549000
498829,839427000
501609,948024000
504395,872498000
507169,848838000
509946,794778000
512735,873969000
515509,902200000
518286,812150000
521087,843579000
