field0,field1
59,4967000
1264,3517000
3057,6442000
4931,12056000
6898,24077000
8895,28361000
10892,26540000
12949,27956000
15075,35117000
17192,36415000
19313,41594000
21514,47097000
23721,48980000
25937,60081000
28273,59151000
30606,62487000
32939,73021000
35263,68912000
37590,87794000
39920,95611000
42259,86698000
44583,100293000
46910,108553000
49243,102798000
51567,115078000
53897,110522000
56257,116022000
58713,134986000
61163,131839000
63619,134846000
66066,140148000
68513,137842000
70969,148265000
73413,158169000
75863,171468000
78310,167910000
80760,181592000
83207,164888000
85660,189597000
88104,187002000
90569,195123000
93013,207774000
95463,203219000
97913,201742000
100360,212595000
102807,220172000
105263,241473000
107707,206653000
110157,242556000
112604,229035000
115057,248288000
117507,238651000
120035,263959000
122614,259706000
125181,251978000
127751,269286000
130321,270143000
132888,279569000
135467,259931000
138034,289859000
140604,278422000
143174,290208000
145741,305541000
148311,321632000
150887,326844000
153451,323426000
156021,326644000
158588,327779000
161161,345938000
163728,348576000
166298,343520000
168871,363889000
171438,345153000
174008,366687000
176575,348018000
179145,378191000
181718,362691000
184285,389464000
186852,393636000
189422,406680000
192007,408368000
194574,406651000
197141,405861000
199714,422717000
202281,438008000
204854,414901000
207421,426749000
209991,451335000
212558,436530000
215128,438468000
217695,444520000
220265,471684000
222841,462096000
225408,491348000
227975,479302000
230548,439473000
233115,483374000
235685,481667000
238252,479080000
240828,506763000
243396,487724000
246047,505821000
248710,519731000
251418,494769000
254198,511095000
256981,529053000
259767,530275000
262553,512908000
265324,533131000
268104,548804000
270884,527061000
273664,555072000
276441,570476000
279221,579326000
281995,543764000
284781,578844000
287573,609050000
290347,581161000
293124,590752000
295910,553516000
298687,605959000
301464,636543000
304247,641572000
307018,614457000
309804,602572000
312584,605658000
315364,626811000
318138,662593000
320933,650944000
323701,652101000
326481,677899000
329261,693590000
332041,700753000
334812,692234000
337604,674049000
340387,683557000
343164,678017000
345941,677276000
348721,694772000
351498,740707000
354284,719981000
357064,702323000
359841,698406000
362618,721765000
365398,743775000
368175,764377000
370964,779858000
373738,749918000
376515,727535000
379301,774920000
382075,786303000
384858,803216000
387635,764201000
390418,788288000
393192,809250000
395972,791007000
398746,814010000
401529,823262000
404306,842651000
407101,797522000
409896,830633000
412667,840019000
415444,816637000
418224,825039000
420998,864070000
423784,898269000
426561,807534000
429341,847788000
432118,846906000
434901,855250000
437684,896311000
440467,861054000
443241,885995000
446024,866944000
448798,882822000
451575,892156000
454352,898257000
457135,878615000
459921,918219000
462698,902442000
465472,926859000
468252,885232000
471032,928097000
473824,907317000
476598,919920000
479372,952121000
482155,943942000
484935,955437000
487706,946927000
490498,959612000
493275,943557000
496049,976489000
498829,987374000
501609,998273000
504395,1000972000
507169,979846000
509946,972541000
512735,989526000
515509,965664000
518286,1008576000
521087,994261000
