field0,field1
59,1799000
1264,6715000
3057,6350000
4931,11455000
6898,8892000
8895,17313000
10892,15083000
12949,20056000
15075,13292000
17192,14979000
19313,15728000
21514,18053000
23721,24046000
25937,23472000
28273,20868000
30606,28009000
32939,29398000
35263,28504000
37590,29242000
39920,34522000
42259,29235000
44583,37579000
46910,34558000
49243,32556000
51567,53172000
53897,42137000
56257,43959000
58713,38446000
61163,37606000
63619,43347000
66066,40432000
68513,47268000
70969,45068000
73413,54356000
75863,47208000
78310,49760000
80760,48319000
83207,55571000
85660,51034000
88104,54474000
90569,55550000
93013,55789000
95463,56953000
97913,62089000
100360,68343000
102807,61040000
105263,65424000
107707,63820000
110157,70425000
112604,66253000
115057,69102000
117507,73330000
120035,73092000
122614,83522000
125181,79698000
127751,82117000
130321,76143000
132888,88753000
135467,87219000
138034,93073000
140604,90466000
143174,89781000
145741,103919000
148311,88555000
150887,91559000
153451,99294000
156021,89471000
158588,91325000
161161,97584000
163728,101781000
166298,101593000
168871,101751000
171438,107522000
174008,106163000
176575,108452000
179145,106465000
181718,113081000
184285,113106000
186852,118930000
189422,116312000
192007,144151000
194574,124900000
197141,131337000
199714,126855000
202281,120364000
204854,126994000
207421,123418000
209991,137987000
212558,145876000
215128,131576000
217695,143093000
220265,131152000
222841,160426000
225408,160545000
227975,147840000
230548,146470000
233115,142406000
235685,155092000
238252,159344000
240828,152810000
243396,157708000
